nr;spelling;Word length;n_Belgie;n_Nederland;%juist_Belgie;%juist_Nederland;Minimum_land;Group;
1;reugen;6;241;310;90,0;90,8;90,0;90;
2;pondoes;7;231;363;90,0;90,1;90,0;90;
3;lagadilistisch;14;231;340;90,0;92,0;90,0;90;
4;maberet;7;263;327;90,0;92,9;90,0;90;
5;uitgempen;9;263;325;90,0;93,5;90,0;90;
6;criturg;7;263;317;90,0;93,0;90,0;90;
7;inbricetie;10;242;324;90,0;92,5;90,0;90;
8;stumolen;8;242;290;90,0;91,3;90,0;90;
9;godderijn;9;263;316;92,8;90,0;90,0;90;
10;iriel;5;259;316;92,7;90,0;90,0;90;
11;flosperen;9;253;326;90,0;92,3;90,0;90;
12;pretebentie;11;253;326;90,0;96,4;90,0;90;
13;afflist;7;249;327;90,3;90,0;90,0;90;
14;betijring;9;264;321;90,0;90,2;90,0;90;
15;invensiptie;11;243;347;90,0;93,0;90,0;90;
16;teramikratie;12;275;300;90,0;91,6;90,0;90;
17;kwarzend;8;254;320;90,1;93,1;90,1;90;
18;demaans;7;254;315;90,1;92,0;90,1;90;
19;pulstueel;9;233;287;90,1;91,6;90,1;90;
20;verroppend;10;255;318;95,0;90,1;90,1;90;
21;ralm;4;265;331;90,1;91,1;90,1;90;
22;enturmen;8;223;324;90,1;95,1;90,1;90;
23;teleniaan;9;255;318;90,1;92,7;90,1;90;
24;megelijk;8;255;318;90,1;90,7;90,1;90;
25;intallinaal;11;255;320;90,1;90,8;90,1;90;
26;temifrase;9;231;340;90,4;90,1;90,1;90;
27;puvide;6;213;325;90,1;91,9;90,1;90;
28;relabijn;8;277;305;90,1;91,0;90,1;90;
29;glippant;8;277;336;90,1;94,7;90,1;90;
30;pijtelen;8;249;341;92,8;90,1;90,1;90;
31;vaatstonzel;11;224;336;90,1;93,7;90,1;90;
32;afwilsen;8;256;290;90,1;93,8;90,1;90;
33;berkaaien;9;266;288;92,1;90,1;90,1;90;
34;asteraards;10;267;307;90,1;93,8;90,1;90;
35;karpes;6;235;289;90,1;90,2;90,1;90;
36;bermuiden;9;246;342;90,2;92,9;90,2;90;
37;schieluin;9;245;321;93,6;90,2;90,2;90;
38;ronnotutie;10;225;301;90,2;96,2;90,2;90;
39;pating;6;250;343;90,3;90,2;90,2;90;
40;immagaal;8;258;311;91,0;90,2;90,2;90;
41;oordiet;7;274;322;90,8;90,2;90,2;90;
42;ralding;7;253;290;91,3;90,2;90,2;90;
43;storf;5;256;355;91,4;90,2;90,2;90;
44;ankentement;11;254;312;95,4;90,2;90,2;90;
45;liprema;7;269;358;90,2;92,9;90,2;90;
46;gavimaal;8;248;330;90,2;92,3;90,2;90;
47;mandon;6;248;351;90,2;91,9;90,2;90;
48;mienerlijk;10;261;302;90,3;90,2;90,2;90;
49;tendetorgie;11;259;302;90,2;94,8;90,2;90;
50;mardij;6;270;314;90,3;93,3;90,3;90;
51;lokkel;6;227;318;90,3;91,4;90,3;90;
52;schubes;7;238;329;90,3;92,3;90,3;90;
53;killamolatie;12;260;275;90,3;95,0;90,3;90;
54;ijfling;7;275;325;90,4;90,3;90,3;90;
55;padot;5;260;366;90,3;91,4;90,3;90;
56;megels;6;271;337;90,3;90,6;90,3;90;
57;kortalon;8;243;347;94,4;90,3;90,3;90;
58;lopimicaan;10;239;283;90,3;93,3;90,3;90;
59;infost;6;261;333;90,3;96,5;90,3;90;
60;pongeloos;9;261;288;90,3;95,6;90,3;90;
61;umotoren;8;272;307;90,3;92,8;90,3;90;
62;keumen;6;249;305;90,7;90,3;90,3;90;
63;begolen;7;258;316;93,1;90,3;90,3;90;
64;terutator;9;240;308;90,4;90,8;90,4;90;
65;amusazist;9;232;306;93,2;90,4;90,4;90;
66;anderfermeren;13;250;317;91,2;90,4;90,4;90;
67;refronleren;11;236;317;91,5;90,4;90,4;90;
