nr;Band;spelling;Word length;Verschil_Belgie_Nederland;Medium-Young;Medium-Old;Verschil_m_vr;n.obs;irt.prevalence;z.irt.prevalence;prevalence;z.prevalence;In_lijst1;In_lijst2;In-Lijst3;In_lijst4;Google_frequency;SUBTLEX_frequency;Log_Google_frequency;Log_SUBTLEX_frequency
1;1;papier;6;0;0;0;0;335;0,999606161;3,357089063;1;1,959963985;W;W;W;W;53500;31,05;4,728353782;1,492061605
2;1;traditie;8;0;0;0;0;343;0,999578754;3,338443137;1;1,959963985;W;W;W;W;45000;31,05;4,653212514;1,492061605
3;1;bril;4;0;0;0;0;350;0,999573477;3,334982959;1;1,959963985;W;W;W;W;17000;31,05;4,230448921;1,492061605
4;1;matroos;7;0;0;0;0;340;0,99956493;3,329461818;1;1,959963985;W;W;W;W;5240;31,05;3,719331287;1,492061605
5;1;tenzij;6;0;0;0;0;346;0,999580766;3,339773226;1;1,959963985;W;W;W;W;21700;31,05;4,336459734;1,492061605
6;1;krimpen;7;0;0;0;0;361;0,999577588;3,33767522;1;1,959963985;W;W;W;W;5170;31,05;3,713490543;1,492061605
7;1;aankondigen;11;0;0;0;0;343;0,999577654;3,337718457;1;1,959963985;W;W;W;W;2430;31,05;3,385606274;1,492061605
8;1;leegte;6;0;0;0;0;348;0,999595427;3,349647172;1;1,959963985;W;W;W;W;10300;31,05;4,012837225;1,492061605
9;1;schommelen;10;0;0;0;0;332;0,999565537;3,329850835;1;1,959963985;W;W;W;W;2400;31,05;3,380211242;1,492061605
10;1;stoeien;7;0;0;0;0;329;0,9995884;3,344873975;1;1,959963985;W;W;W;W;2840;31,05;3,45331834;1,492061605
11;1;opscheppen;10;0;0;0;0;366;0,999595718;3,349846381;1;1,959963985;W;W;W;W;2160;31,05;3,334453751;1,492061605
12;1;plechtig;8;0;0;0;0;338;0,999636725;3,379359529;1;1,959963985;W;W;W;W;6910;31,05;3,839478047;1,492061605
13;1;droomwereld;11;0;0;0;0;339;0,999615965;3,364052305;1;1,959963985;W;W;W;W;2560;31,05;3,408239965;1,492061605
14;1;begeleiden;10;0;0;0;0;337;0,999590039;3,345980114;1;1,959963985;W;W;W;W;9660;31,05;3,984977126;1,492061605
15;1;schuilnaam;10;0;0;0;0;346;0,999580766;3,339773226;1;1,959963985;W;W;W;W;3120;31,05;3,494154594;1,492061605
16;1;bijgeloof;9;0;0;0;0;336;0,999598743;3,351926131;1;1,959963985;W;W;W;W;4450;31,05;3,648360011;1,492061605
17;1;matig;5;0;0;0;0;356;0,999613616;3,362368686;1;1,959963985;W;W;W;W;7330;31,05;3,865103975;1,492061605
18;1;klimmen;7;0;0;0;0;327;0,999563007;3,328233416;1;1,959963985;W;W;W;W;8200;31,05;3,913813852;1,492061605
19;1;verdrijven;10;0;0;0;0;346;0,999626758;3,371911766;1;1,959963985;W;W;W;W;5450;31,05;3,736396502;1,492061605
20;1;vaak;4;0;0;0;0;373;0,999644637;3,385408088;1;1,959963985;W;W;W;W;180000;31,05;5,255272505;1,492061605
21;1;uitdelen;8;0;0;0;0;332;0,999567416;3,331057347;1;1,959963985;W;W;W;W;2960;31,05;3,471291711;1,492061605
22;1;bar;3;0;0;0;0;351;0,999623383;3,369431593;1;1,959963985;W;W;W;W;21600;31,05;4,334453751;1,492061605
23;1;maximaal;8;0;0;0;0;339;0,999615965;3,364052305;1;1,959963985;W;W;W;W;14700;31,05;4,167317335;1,492061605
24;1;kleding;7;0;0;0;0;326;0,999695152;3,427263641;1;1,959963985;W;W;W;W;23800;31,05;4,376576957;1,492061605
25;1;geheugen;8;0;0;0;0;364;0,999591023;3,346646598;1;1,959963985;W;W;W;W;19400;31,05;4,28780173;1,492061605
26;1;snurken;7;0;0;0;0;350;0,999637787;3,380164271;1;1,959963985;W;W;W;W;2550;31,05;3,40654018;1,492061605
27;1;binnen;6;0;0;0;0;350;0,999573477;3,334982959;1;1,959963985;W;W;W;W;234000;31,05;5,369215857;1,492061605
28;1;teleurgesteld;13;0;0;0;0;365;0,999566978;3,330775696;1;1,959963985;W;W;W;W;10900;31,05;4,037426498;1,492061605
29;1;oppervlakte;11;0;0;0;0;341;0,999587278;3,34411892;1;1,959963985;W;W;W;W;16100;31,05;4,206825876;1,492061605
30;1;groep;5;0;0;0;0;341;0,999587278;3,34411892;1;1,959963985;W;W;W;W;112000;31,05;5,049218023;1,492061605
31;1;wens;4;0;0;0;0;337;0,999590039;3,345980114;1;1,959963985;W;W;W;W;27100;31,05;4,432969291;1,492061605
32;1;pensioen;8;0;0;0;0;369;0,999595986;3,350029808;1;1,959963985;W;W;W;W;12200;31,05;4,086359831;1,492061605
33;1;loodgieter;10;0;0;0;0;345;0,99963248;3,376163982;1;1,959963985;W;W;W;W;2130;31,05;3,328379603;1,492061605
34;1;tiener;6;0;0;0;0;339;0,999591229;3,346786248;1;1,959963985;W;W;W;W;3480;31,05;3,541579244;1,492061605
35;1;belang;6;0;0;0;0;362;0,999631092;3,37512733;1;1,959963985;W;W;W;W;124000;31,05;5,093421685;1,492061605
36;1;verbluffend;11;0;0;0;0;355;0,999645566;3,386126168;1;1,959963985;W;W;W;W;3460;31,05;3,539076099;1,492061605
37;1;wurgen;6;0;0;0;0;324;0,999573173;3,334784632;1;1,959963985;W;W;W;W;3180;31,05;3,50242712;1,492061605
38;1;speciaal;8;0;0;0;0;339;0,999591596;3,347035471;1;1,959963985;W;W;W;W;38100;31,05;4,580924976;1,492061605
39;1;bijbel;6;0;0;0;0;355;0,999576486;3,336951575;1;1,959963985;W;W;W;W;20700;31,05;4,315970345;1,492061605
40;1;verdwijnen;10;0;0;0;0;349;0,999582191;3,340718755;1;1,959963985;W;W;W;W;30000;31,05;4,477121255;1,492061605
41;2;onderschatten;13;0;0;0;0;310;0,999527005;3,306115782;1;1,959963985;W;W;W;W;4020;31,05;3,604226053;1,492061605
42;2;mos;3;0;0;0;0;331;0,999502682;3,292039435;1;1,959963985;W;W;W;W;7160;31,05;3,854913022;1,492061605
43;2;jongleren;9;0;0;0;0;329;0,999554642;3,32294763;1;1,959963985;W;W;W;W;2200;31,05;3,342422681;1,492061605
44;2;rommel;6;0;0;0;0;334;0,999532839;3,309591307;1;1,959963985;W;W;W;W;7410;31,05;3,869818208;1,492061605
45;2;kunstzinnig;11;0;0;0;0;330;0,999540396;3,314154463;1;1,959963985;W;W;W;W;2640;31,05;3,421603927;1,492061605
46;2;struik;6;0;0;0;0;317;0,999527682;3,306517107;1;1,959963985;W;W;W;W;5840;31,05;3,766412847;1,492061605
47;2;nationaal;9;0;0;0;0;335;0,999483476;3,28136839;1;1,959963985;W;W;W;W;53100;31,05;4,725094521;1,492061605
48;2;authentiek;10;0;0;0;0;330;0,999499402;3,290190435;1;1,959963985;W;W;W;W;4790;31,05;3,680335513;1,492061605
49;2;leerzaam;8;0;0;0;0;326;0,999495683;3,28810707;1;1,959963985;W;W;W;W;3250;31,05;3,511883361;1,492061605
50;2;opwarmen;8;0;0;0;0;330;0,999528734;3,307141514;1;1,959963985;W;W;W;W;1550;31,05;3,190331698;1,492061605
51;2;woordenschat;12;0;0;0;0;335;0,999483476;3,28136839;1;1,959963985;W;W;W;W;4420;31,05;3,645422269;1,492061605
52;2;belegging;9;0;0;0;0;310;0,999483616;3,281444403;1;1,959963985;W;W;W;W;1770;31,05;3,247973266;1,492061605
53;2;knecht;6;0;0;0;0;337;0,999551067;3,320717073;1;1,959963985;W;W;W;W;9240;31,05;3,965671971;1,492061605
54;2;notitieblok;11;0;0;0;0;350;0,99954647;3,317872369;1;1,959963985;W;W;W;W;2480;31,05;3,394451681;1,492061605
55;2;aanvallend;10;0;0;0;0;319;0,999461043;3,269359265;1;1,959963985;W;W;W;W;3020;31,05;3,480006943;1,492061605
56;2;bouwgrond;9;0;0;0;0;337;0,999463969;3,270898982;1;1,959963985;W;W;W;W;1180;;3,071882007;
57;2;appeltaart;10;0;0;0;0;322;0,999520772;3,30244572;1;1,959963985;W;W;W;W;3340;2,63;3,523746467;0,419955748
58;2;deurknop;8;0;0;0;0;342;0,999519067;3,301449522;1;1,959963985;W;W;W;W;1760;1,07;3,245512668;0,029383778
59;2;stofzuiger;10;0;0;0;0;326;0,999534589;3,310642178;1;1,959963985;W;W;W;W;3070;2,45;3,487138375;0,389166084
60;2;sprookje;8;0;0;0;0;325;0,999546805;3,318078426;1;1,959963985;W;W;W;W;6450;6,11;3,809559715;0,78604121
61;2;ingang;6;0;0;0;0;319;0,999486758;3,283165692;1;1,959963985;W;W;W;W;27200;16,35;4,434568904;1,213517757
62;2;pompoen;7;0;0;0;0;360;0,999552324;3,321499605;1;1,959963985;W;W;W;W;2280;2,49;3,357934847;0,396199347
63;2;installeren;11;0;0;0;0;333;0,999490715;3,285346339;1;1,959963985;W;W;W;W;3180;3,64;3,50242712;0,561101384
64;2;feestelijk;10;0;0;0;0;328;0,99952223;3,303300573;1;1,959963985;W;W;W;W;5560;0,87;3,745074792;-0,060480747
65;2;stoer;5;0;0;0;0;330;0,999519896;3,301933333;1;1,959963985;W;W;W;W;4700;11,25;3,672097858;1,051152522
66;2;opwindend;9;0;0;0;0;326;0,999560163;3,326426173;1;1,959963985;W;W;W;W;5650;13,1;3,752048448;1,117271296
67;2;poort;5;0;0;0;0;355;0,999529243;3,307444223;1;1,959963985;W;W;W;W;16900;25,06;4,227886705;1,398981067
68;2;arm;3;0;0;0;0;317;0,999483149;3,281189713;1;1,959963985;W;W;W;W;55500;79,26;4,744292983;1,899054068
69;2;fietspomp;9;0;0;0;0;339;0,999501054;3,291120446;1;1,959963985;W;W;W;W;537;0,09;2,729974286;-1,045757491
