Nr;Word;Target_nonword;Syllables;Condition;Length_list;Word1;Word_2;Word3;Word4;Word5;Word6;Position_target;Noise_level;Position_foil;
1;vloer;smoer_1.wav;1;Target-only;3 words;deebral.wav;smoer_2.wav;wijp.wav;;;;2;plus10db;0;
2;pauw;paud_1.wav;1;Target-only;3 words;rolscheegt.wav;paud_2.wav;staap.wav;;;;2;plus10db;0;
3;kuil;baust_1.wav;1;Target+Foil;6 words;baaf.wav;baundleu.wav;foestvag.wav;baust_2.wav;tan.wav;rornas.wav;4;plus10db;2;
4;krik;grik_1.wav;1;Target-only;3 words;spank.wav;grik_2.wav;pintein.wav;;;;2;plus10db;0;
5;schelp;schess_1.wav;1;Target-only;3 words;rim.wav;schess_2.wav;werelglal.wav;;;;2;plus10db;0;
6;slee;gree_1.wav;1;Target-only;3 words;brachter.wav;gree_2.wav;straak.wav;;;;2;plus10db;0;
7;mand;maks_1.wav;1;Target-only;3 words;palfhoom.wav;maks_2.wav;jeer.wav;;;;2;plus10db;0;
8;tang;mang_1.wav;1;Target-only;3 words;lartmat.wav;mang_2.wav;bleeuw.wav;;;;2;plus10db;0;
9;vaas;zaas_1.wav;1;Target-only;3 words;pinjat.wav;zaas_2.wav;dieg.wav;;;;2;plus10db;0;
10;zweep;speep_1.wav;1;Target-only;3 words;hocket.wav;speep_2.wav;wooi.wav;;;;2;plus10db;0;
11;vork;zork_1.wav;1;Target-only;3 words;mewer.wav;zork_2.wav;stroor.wav;;;;2;plus10db;0;
12;kam;kag_1.wav;1;Target-only;3 words;algel.wav;kag_2.wav;knoot.wav;;;;2;plus10db;0;
13;sjaal;vraal_1.wav;1;Target-only;3 words;pruif.wav;vraal_2.wav;gesoe.wav;;;;2;plus10db;0;
14;wolk;woch_1.wav;1;Target-only;3 words;graap.wav;woch_2.wav;aardwoe.wav;;;;2;plus10db;0;
15;kreeft;kreens_1.wav;1;Target-only;3 words;huim.wav;kreens_2.wav;schismel.wav;;;;2;plus10db;0;
16;kaars;kiers_1.wav;1;Target-only;3 words;hog.wav;kiers_2.wav;waga.wav;;;;2;plus10db;0;
17;hert;hets_1.wav;1;Target-only;3 words;sperf.wav;hets_2.wav;nijmwaard.wav;;;;2;plus10db;0;
18;schaar;schoer_1.wav;1;Target-only;3 words;brin.wav;schoer_2.wav;kneeuwlan.wav;;;;2;plus10db;0;
19;kraan;blaan_1.wav;1;Target-only;3 words;stolf.wav;blaan_2.wav;caimug.wav;;;;2;plus10db;0;
20;kers;hers_1.wav;1;Target-only;4 words;geider.wav;hers_2.wav;atgraus.wav;hamp.wav;;;2;plus10db;0;
21;kurk;skee_1.wav;1;Target-only;4 words;pif.wav;skee_2.wav;wadees.wav;landhoeg.wav;;;2;plus10db;0;
22;vlot;vrot_1.wav;1;Target-only;4 words;spomwel.wav;vrot_2.wav;akakos.wav;borts.wav;;;2;plus10db;0;
23;pruik;proek_1.wav;1;Target-only;4 words;doljeen.wav;proek_2.wav;klek.wav;spomset.wav;;;2;plus10db;0;
24;schaap;schuip_1.wav;1;Target-only;4 words;wamoel.wav;schuip_2.wav;balstel.wav;res.wav;;;2;plus10db;0;
25;wiel;diel_1.wav;1;Target-only;4 words;schuik.wav;diel_2.wav;trauster.wav;pozaat.wav;;;2;plus10db;0;
26;rok;ror_1.wav;1;Target-only;4 words;schir.wav;ror_2.wav;nekla.wav;draxtor.wav;;;2;plus10db;0;
27;vos;ves_1.wav;1;Target-only;4 words;almak.wav;ves_2.wav;calg.wav;ijnhooid.wav;;;2;plus10db;0;
28;spin;klin_1.wav;1;Target-only;4 words;heut.wav;klin_2.wav;beno.wav;pommoon.wav;;;2;plus10db;0;
29;harp;harf_1.wav;1;Target-only;4 words;tenreel.wav;raardkust.wav;harf_2.wav;gaak.wav;;;3;plus10db;0;
30;zwaan;praan_1.wav;1;Target-only;4 words;mork.wav;siekoed.wav;praan_2.wav;beerban.wav;;;3;plus10db;0;
