Band;List A;List B;
1;alternative;annoying;;
1;calendar;application;;
1;clothing;approximately;;
1;concept;characteristic;;
1;conflict;controversial;;
1;crossing;differently;;
1;demonstration;finishing;;
1;height;growth;;
1;housing;injury;;
1;include;investment;;
1;leadership;payment;;
1;maximum;produce;;
1;physically;region;;
1;rising;require;;
1;scheme;sensible;;
1;speaker;simplification;;
1;symbol;strategy;;
1;technical;technique;;
1;tournament;transport;;
1;tricky;ultimate;;
2;destruction;active;;
2;discover;administration;;
2;electricity;apprehensively;;
2;embarrassment;appropriate;;
2;entering;carpet;;
2;existence;cattle;;
2;generation;complain;;
2;graduate;engineer;;
2;international;episode;;
2;parade;excitement;;
2;producer;highest;;
2;rocket;misconception;;
2;serving;operate;;
2;session;poetry;;
2;setback;production;;
2;signature;sunshine;;
2;splendid;thunder;;
2;tattoo;underground;;
2;temper;unfortunate;;
2;useful;waitress;;
3;accomplishment;achievement;;
3;behave;artist;;
3;board;charitable;;
3;certification;cover;;
3;concession;dissatisfaction;;
3;dangerously;inappropriately;;
3;flute;industrial;;
3;income;interface;;
3;overlapping;legality;;
3;packaging;monster;;
3;pregnant;pebble;;
3;radioactive;playful;;
3;raising;potentially;;
3;refresh;privacy;;
3;resourcefulness;reflex;;
3;rooftop;slick;;
3;shopper;sparkling;;
3;specialist;sticking;;
3;sword;transition;;
3;twister;wrecker;;
4;advisory;administrative;;
4;bamboo;charming;;
4;business;cheese;;
4;character;compulsively;;
4;deeply;constructively;;
4;dictation;education;;
4;earpiece;exclaiming;;
4;faithful;expiring;;
4;frozen;faulty;;
4;geometrically;fruitful;;
4;inactivity;gently;;
4;investigation;invalid;;
4;manuscript;precious;;
4;missing;quietly;;
4;overview;seasoned;;
4;qualify;sleeve;;
4;splatter;smashing;;
4;swirl;specifically;;
4;theoretically;wholesome;;
4;touchable;younger;;
5;arrow;bewilderment;;
5;contagious;blossom;;
5;conventionally;compulsiveness;;
5;cranberry;constitutional;;
5;enlightenment;expression;;
5;existing;flossing;;
5;forgetting;fringe;;
5;influential;gambler;;
5;intensely;grouping;;
5;jetlag;hedgehog;;
