nr;spelling;selection;Word length;n_Belgie;n_Nederland;percent_juist_Belgie;percent_juist_Nederland;diff_Belgie_NL;Minimum_land;Group
181;kruffen;1;7;236;327;91,1;97,7;-6,7;91,1;91
78;konbagieren;1;11;220;352;90,4;96,7;-6,3;90,4;90
38;ronnotutie;1;10;225;301;90,2;96,2;-6;90,2;90
324;blijns;1;6;260;275;91,9;97,7;-5,8;91,9;91
89;hijmalaar;1;9;255;302;90,5;96,2;-5,7;90,5;90
254;mokelijk;1;8;227;318;91,7;97;-5,4;91,7;91
379;caflonsis;1;9;255;325;92,2;97,4;-5,3;92,2;92
130;enilitaan;1;9;238;373;90,7;95,8;-5,1;90,7;90
123;halluitend;1;10;226;341;90,7;95,7;-5;90,7;90
195;kwijger;1;7;263;300;91,2;96,1;-4,9;91,2;91
454;sekker;1;6;255;292;92,6;97,5;-4,9;92,6;92
373;rumrokking;1;10;227;318;92,1;97;-4,9;92,1;92
131;akkoevelijk;1;11;272;310;90,7;95,6;-4,9;90,7;90
91;buntesk;1;7;244;316;90,5;95,3;-4,8;90,5;90
134;idarliteit;1;10;250;321;90,7;95,4;-4,7;90,7;90
577;wenalia;1;7;264;289;93,2;97,8;-4,6;93,2;93
98;conlipent;1;9;245;301;90,5;95,1;-4,6;90,5;90
111;dinst;1;5;247;327;90,6;95,2;-4,5;90,6;90
49;tendetorgie;1;11;259;302;90,2;94,8;-4,5;90,2;90
317;joming;1;6;246;313;91,9;96,3;-4,4;91,9;91
495;stiefloen;1;9;277;336;92,8;97,2;-4,4;92,8;92
69;killenhoos;1;10;241;301;90,4;94,8;-4,4;90,4;90
203;gertogelijk;1;11;217;312;91,3;95,6;-4,3;91,3;91
188;statienast;1;10;273;343;91,1;95,4;-4,3;91,1;91
561;pewarante;1;9;277;326;93,2;97,4;-4,3;93,2;93
606;renodregen;1;10;254;301;93,4;97,6;-4,2;93,4;93
512;vrietist;1;8;266;319;92,9;97;-4,2;92,9;92
193;beziefd;1;7;262;334;91,2;95,3;-4,1;91,2;91
120;orvassantie;1;11;259;321;90,7;94,8;-4,1;90,7;90
