nr;spelling;selection;Word length;n_Belgie;n_Nederland;%juist_Belgie;%juist_Nederland;diff_Belgie_NL;Minimum_land;Group
12;pretebentie;2;11;253;326;90;96,4;-6,4;90;90
59;infost;2;6;261;333;90,3;96,5;-6,2;90,3;90
272;nartelijk;2;9;241;344;91,7;97,6;-5,9;91,7;91
124;himpig;2;6;226;319;90,7;96,4;-5,7;90,7;90
128;mabikaal;2;8;249;312;90,7;96,3;-5,6;90,7;90
60;pongeloos;2;9;261;288;90,3;95,6;-5,3;90,3;90
165;sormies;2;7;244;330;90,9;96,2;-5,2;90,9;90
22;enturmen;2;8;223;324;90,1;95,1;-5;90,1;90
215;dimor;2;5;258;352;91,4;96,4;-5;91,4;91
237;gulpontig;2;9;225;301;91,6;96,5;-4,9;91,6;91
444;hutaar;2;6;253;326;92,5;97,4;-4,9;92,5;92
300;horps;2;5;270;318;91,8;96,7;-4,9;91,8;91
158;kadelziek;2;9;243;347;90,9;95,8;-4,8;90,9;90
53;killamolatie;2;12;260;275;90,3;95;-4,7;90,3;90
562;verisserig;2;10;277;336;93,2;97,8;-4,6;93,2;93
294;astienen;2;8;244;348;91,8;96,4;-4,6;91,8;91
29;glippant;2;8;277;336;90,1;94,7;-4,6;90,1;90
366;schokeldijn;2;11;253;312;92,1;96,6;-4,5;92,1;92
353;gussiraal;2;9;264;302;92;96,5;-4,5;92;92
207;drant;2;5;242;320;91,3;95,7;-4,4;91,3;91
253;manijn;2;6;227;318;91,7;96;-4,4;91,7;91
176;tijvinigheid;2;12;234;317;91;95,4;-4,3;91;91
147;coddactie;2;9;265;329;90,9;95,2;-4,3;90,9;90
222;trandellien;2;11;247;346;91,5;95,7;-4,3;91,5;91
371;dymkactisch;2;11;227;314;92,1;96,3;-4,2;92,1;92
125;domibel;2;7;260;307;90,7;94,9;-4,2;90,7;90
171;jomisch;2;7;245;324;91;95,1;-4,1;91;91
408;ligittie;2;8;219;352;92,3;96,4;-4,1;92,3;92
205;gebantie;2;8;254;320;91,3;95,4;-4,1;91,3;91
309;pinterlaarlijk;2;14;245;333;91,8;95,9;-4,1;91,8;91
558;lulstbandig;2;11;261;336;93,1;97,2;-4;93,1;93
82;bamitoseren;2;11;231;321;90,4;94,4;-4;90,4;90
164;trarrofoon;2;10;244;352;90,9;94,9;-4;90,9;90
429;gepoping;2;8;263;316;92,4;96,3;-3,9;92,4;92
266;blanstig;2;8;266;308;91,7;95,6;-3,9;91,7;91
70;gezerpen;2;8;252;329;90,4;94,2;-3,8;90,4;90
218;nidasteren;2;10;246;353;91,4;95,2;-3,8;91,4;91
516;rilomode;2;8;238;314;92,9;96,6;-3,7;92,9;92
599;wrijmeraar;2;10;237;285;93,3;97;-3,7;93,3;93
34;asteraards;2;10;267;307;90,1;93,8;-3,7;90,1;90
105;schroezer;2;9;246;293;90,6;94,3;-3,7;90,6;90
659;pihengiaat;2;10;234;317;93,7;97,3;-3,6;93,7;93
289;reddine;2;7;231;321;91,8;95,4;-3,6;91,8;91
31;vaatstonzel;2;11;224;336;90,1;93,7;-3,6;90,1;90
565;vrunteling;2;10;262;324;93,2;96,8;-3,6;93,2;93
472;inonfie;2;7;243;305;92,6;96,2;-3,6;92,6;92
233;medormap;2;8;274;321;91,5;95,1;-3,5;91,5;91
336;mialaltiek;2;10;288;326;92;95,5;-3,5;92;92
738;fiteek;2;6;255;321;94,2;97,7;-3,5;94,2;94
242;rolk;2;4;226;343;91,6;95,1;-3,5;91,6;91
605;kavree;2;6;254;331;93,4;96,8;-3,5;93,4;93
109;contokistaal;2;12;258;299;90,6;94;-3,4;90,6;90
283;kalzelen;2;8;256;327;91,8;95,2;-3,4;91,8;91
666;schobeting;2;10;219;365;93,8;97,1;-3,4;93,8;93
145;getwijnel;2;9;275;325;90,8;94,2;-3,4;90,8;90
763;oranfafeet;2;10;224;365;94,4;97,7;-3,3;94,4;94
497;warralist;2;9;248;351;92,8;96,1;-3,3;92,8;92
161;horicijn;2;8;244;348;90,9;94,3;-3,3;90,9;90
394;asdanonaal;2;10;244;330;92,2;95,5;-3,3;92,2;92
524;boltpomier;2;10;284;281;93;96,3;-3,3;93;93
679;waarbijn;2;8;258;333;93,9;97,2;-3,3;93,9;93
278;invoekelijk;2;11;230;337;91,8;95;-3,2;91,8;91
217;corrublindent;2;13;246;314;91,4;94,6;-3,2;91,4;91
639;gevina;2;6;262;324;93,6;96,8;-3,2;93,6;93
