Order;Round;SNR;Condition;Length_list;Word;Target_nonword;Word1;Word2;Word3;Word4;Word5;Word6;Position_target;Position_foil
1;1;0;Target-only;6 words;touw;tomp;oormoel;karp;retnin;alveid;tomp;penk;5;0
2;1;-2;NoTarget;3 words;smaak;smijk;veg;wieel;loor;;;;0;0
3;1;-4;Target-only;5 words;kroon;broon;warker;lepen;pluif;broon;pir;;4;0
4;1;-6;Target+Foil;5 words;boek;zan;dauk;andoer;zallalk;zan;slon;;4;3
5;1;-8;NoTarget;4 words;roem;loem;salder;voes;guitel;swi;;;0;0
6;1;-10;Target+Foil;4 words;taart;toort;toolgmong;toort;veepsel;sies;;;2;1
7;1;-12;Target-only;3 words;kaars;kiers;hog;kiers;waga;;;;2;0
8;1;-14;NoTarget;5 words;gat;gar;lomel;strieg;snaan;sloog;rirte;;0;0
9;1;-16;Target+Foil;3 words;bom;rom;rofreun;rom;zamp;;;;2;1
10;1;-18;Target-only;4 words;haai;hoei;jerg;cigroon;hoei;lordel;;;3;0
11;2;0;Target+Foil;6 words;bad;bam;wirums;mefdel;bafruip;lir;bam;lank;5;3
12;2;-2;Target-only;6 words;kruis;fluis;viet;knaf;fluis;eidind;gruton;goeling;3;0
13;2;-4;Target+Foil;5 words;huis;chlon;chlokhien;doon;keeg;chlon;vijnwel;;3;0
14;2;-6;NoTarget;4 words;pop;lop;voorserm;muiland;fraal;kijn;;;3;1
15;2;-8;Target-only;5 words;slak;slas;laanzan;halg;jirsel;slas;goe;;3;0
16;2;-10;Target-only;3 words;tang;mang;lartmat;mang;bleeuw;;;;2;0
17;2;-12;Target+Foil;4 words;hoed;koed;koegpaat;momp;koed;noger;;;3;1
18;2;-14;Target-only;4 words;eend;oend;fonguin;laaps;oend;spunel;;;3;0
19;2;-16;NoTarget;6 words;bloed;zwoed;liem;watse;kieg;firp;bioel;gebog;0;0
20;2;-18;Target+Foil;3 words;bord;bops;bolgwap;bops;ziep;;;;2;1
21;3;0;NoTarget;3 words;loep;luip;kleis;heerting;zwins;;;;0;0
22;3;-2;Target+Foil;6 words;kuil;baust;baaf;baundleu;foestvag;baust;tan;rornas;4;2
23;3;-4;NoTarget;4 words;doek;deek;eerkuid;jor;vas;wijtoeg;;;0;0
24;3;-6;Target-only;5 words;muis;muin;blan;muin;wemp;euzer;knekgel;;2;0
25;3;-8;Target+Foil;5 words;hoef;hogt;ontpad;holmdrins;hogt;toor;roog;;3;2
26;3;-10;NoTarget;5 words;broer;troer;voortegt;brof;blook;spaag;afbuip;;0;0
27;3;-12;NoTarget;5 words;blaas;draas;aanbag;smap;tetjel;gog;pag;;0;0
28;3;-14;Target+Foil;4 words;brood;bried;snes;briepkimp;bried;jutleen;;;3;2
29;3;-16;Target-only;4 words;wiel;diel;schuik;diel;trauster;pozaat;;;2;0
30;3;-18;NoTarget;6 words;sop;sor;raber;hieg;brots;wref;ledoer;meusel;0;0
