Item	Part	Picture	Correct_Answer
13	Test	APM_II_01.gif	5
14	Test	APM_II_02.gif	1
15	Test	APM_II_03.gif	7
16	Test	APM_II_04.gif	4
17	Test	APM_II_05.gif	3
18	Test	APM_II_06.gif	1
19	Test	APM_II_07.gif	6
20	Test	APM_II_08.gif	1
21	Test	APM_II_09.gif	8
22	Test	APM_II_10.gif	4
23	Test	APM_II_11.gif	5
24	Test	APM_II_12.gif	6
25	Test	APM_II_13.gif	2
26	Test	APM_II_14.gif	1
27	Test	APM_II_15.gif	2
28	Test	APM_II_16.gif	4
29	Test	APM_II_17.gif	6
30	Test	APM_II_18.gif	7
31	Test	APM_II_19.gif	3
32	Test	APM_II_20.gif	8
33	Test	APM_II_21.gif	8
34	Test	APM_II_22.gif	7
35	Test	APM_II_23.gif	6
36	Test	APM_II_24.gif	3
37	Test	APM_II_25.gif	7
38	Test	APM_II_26.gif	2
39	Test	APM_II_27.gif	7
40	Test	APM_II_28.gif	5
41	Test	APM_II_29.gif	6
42	Test	APM_II_30.gif	5
43	Test	APM_II_31.gif	4
44	Test	APM_II_32.gif	8
45	Test	APM_II_33.gif	5
46	Test	APM_II_34.gif	1
47	Test	APM_II_35.gif	3
48	Test	APM_II_36.gif	2
