nr;Band;spelling;randomisation;selection;Etymology;Word length;Verschil_Belgie_Nederland;Medium-Young;Medium-Old;Verschil_m_vr;n.obs;irt.prevalence;z.irt.prevalence;prevalence;z.prevalence;In_lijst1;In_lijst2;In-Lijst3;In_lijst4;Google_frequency;SUBTLEX_frequency;Log_Google_frequency;Log_SUBTLEX_frequency
20;1;vaak;0,007536044;1;;4;0;0;0;0;373;0,999644637;3,385408088;1;1,959963985;W;W;W;W;180000;31,05;5,255272505;1,492061605
10;1;stoeien;0,039789452;1;;7;0;0;0;0;329;0,9995884;3,344873975;1;1,959963985;W;W;W;W;2840;31,05;3,45331834;1,492061605
26;1;snurken;0,099115753;1;;7;0;0;0;0;350;0,999637787;3,380164271;1;1,959963985;W;W;W;W;2550;31,05;3,40654018;1,492061605
31;1;wens;0,17580634;1;;4;0;0;0;0;337;0,999590039;3,345980114;1;1,959963985;W;W;W;W;27100;31,05;4,432969291;1,492061605
37;1;wurgen;0,240870072;1;;6;0;0;0;0;324;0,999573173;3,334784632;1;1,959963985;W;W;W;W;3180;31,05;3,50242712;1,492061605
8;1;leegte;0,293265702;1;;6;0;0;0;0;348;0,999595427;3,349647172;1;1,959963985;W;W;W;W;10300;31,05;4,012837225;1,492061605
18;1;klimmen;0,411220105;1;;7;0;0;0;0;327;0,999563007;3,328233416;1;1,959963985;W;W;W;W;8200;31,05;3,913813852;1,492061605
14;1;begeleiden;0,535753104;1;;10;0;0;0;0;337;0,999590039;3,345980114;1;1,959963985;W;W;W;W;9660;31,05;3,984977126;1,492061605
35;1;belang;0,560531929;1;;6;0;0;0;0;362;0,999631092;3,37512733;1;1,959963985;W;W;W;W;124000;31,05;5,093421685;1,492061605
17;1;matig;0,584255082;1;;5;0;0;0;0;356;0,999613616;3,362368686;1;1,959963985;W;W;W;W;7330;31,05;3,865103975;1,492061605
27;1;binnen;0,692527199;1;;6;0;0;0;0;350;0,999573477;3,334982959;1;1,959963985;W;W;W;W;234000;31,05;5,369215857;1,492061605
