GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
chapter_001,ru.job4j.array,FindLoop,0,23,0,4,0,7,0,4,0,2
chapter_001,ru.job4j.array,Turn,0,39,0,2,0,6,0,3,0,2
chapter_001,ru.job4j.array,ArrayStringCheck,0,46,0,6,0,11,0,5,0,2
chapter_001,ru.job4j.array,ArrayDuplicate,0,44,0,6,0,8,0,5,0,2
chapter_001,ru.job4j.array,ArrayThreeSort,18,56,5,5,2,10,4,3,0,2
chapter_001,ru.job4j.array,ArraySortCheck,12,22,4,2,1,4,3,2,0,2
chapter_001,ru.job4j.array,ArrayChar,0,33,0,4,0,10,0,4,0,2
chapter_001,ru.job4j.array,Matrix,0,35,0,4,0,6,0,4,0,2
chapter_001,ru.job4j.array,BubbleSort,0,50,0,6,0,8,0,5,0,2
chapter_001,ru.job4j.array,Square,0,21,0,2,0,5,0,3,0,2
chapter_001,ru.job4j.loop,Board,0,48,0,6,0,11,0,5,0,2
chapter_001,ru.job4j.loop,Factorial,0,22,1,3,0,6,1,3,0,2
chapter_001,ru.job4j.loop,Paint,0,112,0,14,0,12,0,15,0,8
chapter_001,ru.job4j.loop,Counter,0,23,0,4,0,5,0,4,0,2
chapter_001,ru.job4j.condition,Point,71,28,0,0,9,5,1,2,1,2
chapter_001,ru.job4j.condition,DummyBot,0,22,0,4,0,8,0,4,0,2
chapter_001,ru.job4j.condition,Triangle,1,106,4,4,0,15,4,4,0,4
chapter_001,ru.job4j,Calculator,0,33,0,0,0,11,0,6,0,6
chapter_001,ru.job4j,Calculate,4,12,0,0,2,2,1,2,1,2
chapter_001,ru.job4j.max,Max,1,19,1,1,0,4,1,3,0,3
chapter_001,ru.job4j.calculator,Fit,0,15,0,0,0,3,0,3,0,3
chapter_001,ru.job4j.calculator,Converter,0,19,0,0,0,5,0,5,0,5
