repo-id, jkali-patch
repairnator-repairnator-experiments-EnMasseProject-enmasse-378592651-20180514-093752-firstCommit, https://github.com/dginelli/repairnator-experiments-jkali-one-failing-test-case/blob/repairnator-repairnator-experiments-EnMasseProject-enmasse-378592651-20180514-093752-firstCommit/repairnator-patches/AstorJKali/patch_1.patch
repairnator-repairnator-experiments-AxonFramework-AxonFramework-350737857-20180308-102725-firstCommit, https://github.com/dginelli/repairnator-experiments-jkali-one-failing-test-case/blob/repairnator-repairnator-experiments-AxonFramework-AxonFramework-350737857-20180308-102725-firstCommit/repairnator-patches/AstorJKali/patch_1.patch
repairnator-repairnator-experiments-Inmapg-Text-Traffic-Simulator-368867994-20180419-235104-firstCommit, https://github.com/dginelli/repairnator-experiments-jkali-one-failing-test-case/blob/repairnator-repairnator-experiments-Inmapg-Text-Traffic-Simulator-368867994-20180419-235104-firstCommit/repairnator-patches/AstorJKali/patch_1.patch
repairnator-repairnator-experiments-EnMasseProject-enmasse-353457987-20180314-185443-firstCommit, https://github.com/dginelli/repairnator-experiments-jkali-one-failing-test-case/blob/repairnator-repairnator-experiments-EnMasseProject-enmasse-353457987-20180314-185443-firstCommit/repairnator-patches/AstorJKali/patch_1.patch
repairnator-repairnator-experiments-BradleyWood-Software-Quality-Test-Framework-351075282-20180309-001538-firstCommit, https://github.com/dginelli/repairnator-experiments-jkali-one-failing-test-case/blob/repairnator-repairnator-experiments-BradleyWood-Software-Quality-Test-Framework-351075282-20180309-001538-firstCommit/repairnator-patches/AstorJKali/patch_1.patch
repairnator-repairnator-experiments-INL-BlackLab-214962527-20170325-134416-firstCommit, https://github.com/dginelli/repairnator-experiments-jkali-one-failing-test-case/blob/repairnator-repairnator-experiments-INL-BlackLab-214962527-20170325-134416-firstCommit/repairnator-patches/AstorJKali/patch_1.patch
repairnator-repairnator-experiments-EnMasseProject-enmasse-377294634-20180510-191135-firstCommit, https://github.com/dginelli/repairnator-experiments-jkali-one-failing-test-case/blob/repairnator-repairnator-experiments-EnMasseProject-enmasse-377294634-20180510-191135-firstCommit/repairnator-patches/AstorJKali/patch_1.patch
repairnator-repairnator-experiments-EnMasseProject-enmasse-391947972-20180613-225909-firstCommit, https://github.com/dginelli/repairnator-experiments-jkali-one-failing-test-case/blob/repairnator-repairnator-experiments-EnMasseProject-enmasse-391947972-20180613-225909-firstCommit/repairnator-patches/AstorJKali/patch_1.patch
repairnator-repairnator-experiments-Hellojungle-rocketmq-421420531-20180828-082343-firstCommit, https://github.com/dginelli/repairnator-experiments-jkali-one-failing-test-case/blob/repairnator-repairnator-experiments-Hellojungle-rocketmq-421420531-20180828-082343-firstCommit/repairnator-patches/AstorJKali/patch_1.patch
repairnator-repairnator-experiments-alibaba-Sentinel-408450759-20180726-131316-firstCommit, https://github.com/dginelli/repairnator-experiments-jkali-one-failing-test-case/blob/repairnator-repairnator-experiments-alibaba-Sentinel-408450759-20180726-131316-firstCommit/repairnator-patches/AstorJKali/patch_1.patch
repairnator-repairnator-experiments-KGreg314-ivt-lab-380634197-20180518-125533-firstCommit, https://github.com/dginelli/repairnator-experiments-jkali-one-failing-test-case/blob/repairnator-repairnator-experiments-KGreg314-ivt-lab-380634197-20180518-125533-firstCommit/repairnator-patches/AstorJKali/patch_1.patch
repairnator-repairnator-experiments-Mistahmilla-SudokuSolver-372495757-20180428-211304-firstCommit, https://github.com/dginelli/repairnator-experiments-jkali-one-failing-test-case/blob/repairnator-repairnator-experiments-Mistahmilla-SudokuSolver-372495757-20180428-211304-firstCommit/repairnator-patches/AstorJKali/patch_1.patch
repairnator-repairnator-experiments-OpenFeign-feign-413754623-20180808-215547-firstCommit, https://github.com/dginelli/repairnator-experiments-jkali-one-failing-test-case/blob/repairnator-repairnator-experiments-OpenFeign-feign-413754623-20180808-215547-firstCommit/repairnator-patches/AstorJKali/patch_1.patch
repairnator-repairnator-experiments-MPI-ExperimentGroup-ExperimentTemplate-384776966-20180528-170150-firstCommit, https://github.com/dginelli/repairnator-experiments-jkali-one-failing-test-case/blob/repairnator-repairnator-experiments-MPI-ExperimentGroup-ExperimentTemplate-384776966-20180528-170150-firstCommit/repairnator-patches/AstorJKali/patch_1.patch
repairnator-repairnator-experiments-apache-commons-rng-354875355-20180318-011906-firstCommit, https://github.com/dginelli/repairnator-experiments-jkali-one-failing-test-case/blob/repairnator-repairnator-experiments-apache-commons-rng-354875355-20180318-011906-firstCommit/repairnator-patches/AstorJKali/patch_1.patch
repairnator-repairnator-experiments-apache-incubator-dubbo-418176682-20180820-133142-firstCommit, https://github.com/dginelli/repairnator-experiments-jkali-one-failing-test-case/blob/repairnator-repairnator-experiments-apache-incubator-dubbo-418176682-20180820-133142-firstCommit/repairnator-patches/AstorJKali/patch_1.patch
repairnator-repairnator-experiments-biojava-biojava-377834863-20180511-194927-firstCommit, https://github.com/dginelli/repairnator-experiments-jkali-one-failing-test-case/blob/repairnator-repairnator-experiments-biojava-biojava-377834863-20180511-194927-firstCommit/repairnator-patches/AstorJKali/patch_1.patch
repairnator-repairnator-experiments-apache-incubator-dubbo-388143247-20180605-095251-firstCommit, https://github.com/dginelli/repairnator-experiments-jkali-one-failing-test-case/blob/repairnator-repairnator-experiments-apache-incubator-dubbo-388143247-20180605-095251-firstCommit/repairnator-patches/AstorJKali/patch_1.patch
repairnator-repairnator-experiments-apache-incubator-dubbo-415746260-20180814-065639-firstCommit, https://github.com/dginelli/repairnator-experiments-jkali-one-failing-test-case/blob/repairnator-repairnator-experiments-apache-incubator-dubbo-415746260-20180814-065639-firstCommit/repairnator-patches/AstorJKali/patch_1.patch
repairnator-repairnator-experiments-apache-incubator-dubbo-371414052-20180426-085631-firstCommit, https://github.com/dginelli/repairnator-experiments-jkali-one-failing-test-case/blob/repairnator-repairnator-experiments-apache-incubator-dubbo-371414052-20180426-085631-firstCommit/repairnator-patches/AstorJKali/patch_1.patch
repairnator-repairnator-experiments-chtyim-twill-356031025-20180320-212226-firstCommit, https://github.com/dginelli/repairnator-experiments-jkali-one-failing-test-case/blob/repairnator-repairnator-experiments-chtyim-twill-356031025-20180320-212226-firstCommit/repairnator-patches/AstorJKali/patch_1.patch
repairnator-repairnator-experiments-apache-incubator-dubbo-388077977-20180605-041500-firstCommit, https://github.com/dginelli/repairnator-experiments-jkali-one-failing-test-case/blob/repairnator-repairnator-experiments-apache-incubator-dubbo-388077977-20180605-041500-firstCommit/repairnator-patches/AstorJKali/patch_1.patch
repairnator-repairnator-experiments-apache-incubator-dubbo-369013010-20180420-102003-firstCommit, https://github.com/dginelli/repairnator-experiments-jkali-one-failing-test-case/blob/repairnator-repairnator-experiments-apache-incubator-dubbo-369013010-20180420-102003-firstCommit/repairnator-patches/AstorJKali/patch_1.patch
repairnator-repairnator-experiments-biojava-biojava-258611489-20170728-175148_bugonly-firstCommit, https://github.com/dginelli/repairnator-experiments-jkali-one-failing-test-case/blob/repairnator-repairnator-experiments-biojava-biojava-258611489-20170728-175148_bugonly-firstCommit/repairnator-patches/AstorJKali/patch_1.patch
repairnator-repairnator-experiments-biojava-biojava-259521132-20170802-204702_bugonly-firstCommit, https://github.com/dginelli/repairnator-experiments-jkali-one-failing-test-case/blob/repairnator-repairnator-experiments-biojava-biojava-259521132-20170802-204702_bugonly-firstCommit/repairnator-patches/AstorJKali/patch_1.patch
repairnator-repairnator-experiments-apache-twill-356030973-20180320-212647-firstCommit, https://github.com/dginelli/repairnator-experiments-jkali-one-failing-test-case/blob/repairnator-repairnator-experiments-apache-twill-356030973-20180320-212647-firstCommit/repairnator-patches/AstorJKali/patch_1.patch
