GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
payment,com.omer.iyzico,Application,5,3,0,0,2,1,1,1,1,1
payment,com.omer.iyzico.checkers,BinNumberCheck,0,32,0,0,0,9,0,2,0,2
payment,com.omer.iyzico.checkers,PaymentCheck,23,494,19,55,7,90,19,29,0,8
payment,com.omer.iyzico.model,Sale,9,22,0,0,3,11,3,6,3,6
payment,com.omer.iyzico.model,Ticket,22,23,0,0,8,11,7,6,7,6
payment,com.omer.iyzico.model,Request,0,38,0,0,0,16,0,11,0,11
payment,com.omer.iyzico.model,Log,12,31,0,0,5,14,1,9,1,9
payment,com.omer.iyzico.controller,PaymentController,0,25,0,0,0,5,0,3,0,3
payment,com.omer.iyzico.controller,SaleController,0,29,0,0,0,6,0,3,0,3
payment,com.omer.iyzico.controller,TicketController,33,29,0,0,7,6,3,3,3,3
payment,com.omer.iyzico.controller,LogController,0,29,0,0,0,6,0,3,0,3
payment,com.omer.iyzico.service,SaleService,14,9,0,0,4,2,3,2,3,2
payment,com.omer.iyzico.service,TicketService,20,3,0,0,5,1,4,1,4,1
payment,com.omer.iyzico.service,LogService,14,9,0,0,4,2,3,2,3,2
